VendorID,PULocationID,DOLocationID,fareamount,total_amount
2,166,41,null,11.5
2,41,162,null,30.95
2,42,75,null,20.1
2,95,132,null,40.2
2,130,121,null,19.5
2,235,94,null,12.9
2,116,69,null,18
2,244,238,null,24.95
2,74,75,null,15
2,74,42,null,12.2
2,74,75,null,12.8
2,7,7,null,10.11
2,41,41,null,8.7
2,43,43,null,7.08
2,95,197,null,17.1
2,41,74,null,10.1
2,74,239,null,29.7
2,116,244,null,12.9
2,116,116,null,6.9
2,260,226,null,14.64
2,41,170,null,40.62
1,74,236,null,22.95
1,74,166,null,15.45
1,76,89,null,21.7
2,129,138,null,30
2,74,166,null,13.9
2,52,249,null,45.25
2,166,138,null,61.26
2,74,42,null,12.96
2,95,95,null,9.4
1,244,42,null,19
2,74,75,null,16.12
2,166,138,null,65.56
2,41,166,null,16.32
2,166,152,null,11.28
2,166,132,null,78.05
2,95,92,null,23.4
2,166,41,null,14.64
2,41,152,null,10.44
1,82,138,null,24
2,43,68,null,36.51
1,75,74,null,7.3
1,74,75,null,13.8
1,74,236,null,16.25
2,166,43,null,25.65
2,41,132,null,78.05
2,166,238,null,17.94
2,74,75,null,11.8
2,74,236,null,18.8
2,74,152,null,14.6
1,74,75,null,13.8
1,75,262,null,21.3
1,75,42,null,10.1
1,56,226,null,27
2,41,74,null,12.2
2,43,234,null,33.9
2,116,159,null,21.3
2,74,75,null,13.22
2,74,75,null,16.32
2,41,42,null,9.4
2,74,43,null,13.2
2,243,127,null,8
2,41,74,null,9
2,74,75,null,14.03
2,74,75,null,10.8
2,95,61,null,63.3
2,166,152,null,9.4
2,74,236,null,18.55
2,116,166,null,11.5
2,74,238,null,23.82
2,129,129,null,13.6
2,129,146,null,17.8
2,74,152,null,12.2
2,43,239,null,21.85
2,74,75,null,8.7
2,41,74,null,10
1,74,74,null,8.3
1,41,129,null,37.6
2,75,74,null,12.2
2,41,42,null,17.1
2,74,75,null,17.68
2,74,151,null,19.2
1,152,127,null,22.7
1,26,26,null,16.7
1,225,88,null,21.7
2,41,236,null,18.45
2,166,244,null,24.72
2,74,140,null,28.86
2,74,43,null,13.5
2,61,76,null,19
2,74,238,null,24.44
1,95,28,null,14.3
2,74,170,null,40.62
2,74,75,null,12.12
2,24,234,null,44.82
1,74,75,null,10.8
1,74,74,null,8
2,43,170,null,26.34
2,75,236,null,14.85
1,215,73,null,25.7
2,130,218,null,23.04
2,179,107,null,29.55
2,74,263,null,21.45
2,74,166,null,15.25
2,130,216,null,12.2
2,74,236,null,17.05
2,95,121,null,17.1
1,35,177,null,12.2
2,33,229,null,48.55
2,74,41,null,11.75
2,74,74,null,7.3
2,74,138,null,49.5
2,74,230,null,34.55
2,168,168,null,16
2,24,166,null,7.3
2,166,238,null,8.76
2,41,74,null,12.5
2,75,236,null,11.45
2,43,143,null,27.18
1,74,262,null,25.75
2,74,75,null,13.69
2,74,75,null,15.48
2,75,41,null,10.1
2,116,166,null,8.7
2,24,236,null,18.78
2,74,75,null,14.64
2,129,75,null,44.65
2,41,74,null,6.6
2,74,41,null,7.3
2,74,166,null,17.68
2,74,75,null,12.96
2,65,100,null,43.25
2,129,82,null,15.7
2,130,264,null,14
2,74,166,null,15.01
2,74,41,null,17.16
1,166,24,null,11
1,24,152,null,8.5
1,42,242,null,30
2,265,7,null,106
1,258,234,null,37
2,74,41,null,9.4
2,74,236,null,22.85
1,74,239,null,28.85
2,244,174,null,30
2,74,41,null,7.3
2,247,42,null,10.1
2,74,41,null,10.44
2,41,231,null,62.44
2,130,130,null,10.1
2,74,166,null,14.3
2,74,236,null,23.63
2,74,152,null,13
2,74,236,null,22.98
2,75,75,null,7.3
2,74,41,null,10.1
2,82,82,null,21
2,74,75,null,13.22
2,95,226,null,36.7
2,130,130,null,16
2,127,243,null,8.7
2,247,159,null,7.3
2,116,238,null,27.18
2,74,244,null,25.5
2,244,41,null,15
2,193,170,null,39.45
2,43,151,null,8
2,166,90,null,42.3
2,74,42,null,12.12
2,244,128,null,23.88
2,41,24,null,12.96
2,74,41,null,12.9
2,75,75,null,5.2
2,43,238,null,12.62
1,74,236,null,17.94
2,74,75,null,13.8
2,75,262,null,15.42
2,33,246,null,38.1
2,166,238,null,9.3
2,75,74,null,10.8
2,75,74,null,12.96
1,247,250,null,25.7
2,166,41,null,11.5
1,75,263,null,12.06
1,74,75,null,8.7
1,75,236,null,10.05
2,74,151,null,19.2
2,75,141,null,16.26
2,166,166,null,12.96
1,74,138,null,50.3
2,166,48,null,33.75
2,166,166,null,8.25
2,75,236,null,9.35
2,75,239,null,31.38
2,130,130,null,13.8
2,74,238,null,27.23
1,74,75,null,12.2
2,97,181,null,23.88
2,3,3,null,25.2
1,259,79,null,47.25
2,263,74,null,14.38
2,134,134,null,9
2,166,237,null,31.27
2,74,140,null,38.55
1,42,166,null,15.6
2,74,75,null,12.12
2,75,69,null,17.8
1,168,75,null,25.7
1,43,75,null,8.75
2,74,237,null,31.38
2,74,152,null,14.6
2,223,229,null,36.73
2,75,48,null,29.65
2,116,116,null,5.9
2,74,41,null,12.12
2,42,74,null,14.3
2,74,75,null,16.12
2,74,166,null,16.12
2,134,130,null,14.04
2,134,83,null,22.7
2,42,42,null,7.3
2,43,236,null,14.89
2,75,113,null,44.82
2,74,75,null,14.64
2,74,74,null,5.2
2,74,236,null,16.32
2,74,166,null,16.12
2,152,151,null,12.9
2,166,239,null,19.62
2,75,166,null,13.8
2,75,74,null,11.5
2,166,230,null,46.5
1,74,236,null,13.7
1,75,237,null,21.25
2,95,137,null,59.4
2,47,47,null,11
2,152,238,null,18.45
2,75,74,null,9.4
2,42,41,null,8
2,41,166,null,9.7
2,24,151,null,7.3
1,15,140,null,53.55
1,41,74,null,10.4
2,196,98,null,22.7
2,130,265,null,60
2,74,236,null,21.3
2,75,152,null,14.3
2,97,49,null,14.64
2,95,95,null,9.4
1,74,41,null,7.3
2,75,74,null,10.1
2,75,24,null,14.64
2,33,49,null,43.2
2,75,166,null,11.5
2,196,131,null,25.5
2,95,134,null,12.9
1,17,61,null,8
1,76,35,null,22
2,69,159,null,12.2
2,74,43,null,13.8
2,74,236,null,14.28
2,75,74,null,12.12
2,95,192,null,20.6
2,74,41,null,16.32
2,75,75,null,15.6
2,74,238,null,29.19
2,74,75,null,11.28
2,43,230,null,28.46
2,166,230,null,28.77
2,95,134,null,12.9
1,74,41,null,14.5
2,7,102,null,55.9
2,74,236,null,25.5
2,74,166,null,18.75
2,166,140,null,35.58
2,43,236,null,17.94
2,41,239,null,22.98
2,129,7,null,13.53
2,74,74,null,9.4
2,74,43,null,27.18
2,74,41,null,12.12
2,74,244,null,27.24
2,74,43,null,16.32
2,75,48,null,22.65
2,74,236,null,22.61
2,33,25,null,9.6
2,129,129,null,4.5
2,129,129,null,4.51
2,74,43,null,13.2
2,41,41,null,8
2,42,75,null,19.2
2,74,244,null,26.1
2,260,260,null,10.1
1,42,166,null,12.95
1,41,238,null,16.4
2,41,236,null,20.46
2,41,74,null,9.4
2,69,159,null,9
2,130,102,null,34.6
2,41,239,null,21.3
1,123,14,null,23.7
2,41,239,null,17.94
